date,value
2021-06-26,780216.0999999999,807547.1698113207
2021-06-29,777920.0999999999,806000.0
2021-06-30,753350.0999999999,791283.0188679246
2021-07-01,779320.0999999999,805283.0188679246
2021-07-02,713100.0999999999,772830.1886792453
2021-07-03,713100.0999999999,772830.1886792453
2021-07-05,713100.0999999999,772830.1886792453
2021-07-06,706380.0999999999,769811.320754717
2021-07-07,633580.0999999999,739622.641509434
2021-07-08,475114.1000000001,678603.7735849058
2021-07-09,591139.0999999999,720301.8867924528
2021-07-10,591139.0999999999,720301.8867924528
2021-07-12,597187.0999999999,722339.6226415094
2021-07-13,552681.0999999999,708226.4150943396
2021-07-14,462087.09999999986,681094.3396226416
2021-07-15,218256.09999999986,603773.5849056604
2021-07-16,346146.09999999986,642075.4716981133
2021-07-17,346146.09999999986,642075.4716981133
2021-07-19,255041.09999999986,616226.4150943396
2021-07-20,403441.0999999996,656226.4150943396
2021-08-02,228511.09999999963,611320.7547169812
2021-08-03,147507.09999999963,591471.6981132076
2021-08-04,82946.09999999963,576339.6226415094
2021-08-05,3482.0999999996275,558490.5660377359
2021-08-09,69982.09999999963,572830.1886792453
2021-08-11,190648.09999999963,597849.0566037736
2021-08-12,217038.09999999963,603320.7547169811
