date,value
2021-06-20,1028274.2500000002,1119558.0110497237
2021-06-21,1023096.55,1111202.82233908
2021-06-22,1031546.2000000002,1124837.9151966984
2021-06-23,1035615.1000000003,1131403.8474339347
2021-06-24,1036908.7000000002,1133454.0371430474
2021-06-25,1039897.7800000003,1138108.234041137
2021-06-26,1039897.7800000003,1138108.234041137
2021-06-28,1041716.0800000003,1140890.634360647
2021-06-29,1043162.0200000003,1143103.241696066
2021-06-30,1042708.9000000001,1142421.620182387
2021-07-01,1044523.3000000003,1145105.504892498
2021-07-02,1049257.5100000002,1151993.6097983094
2021-07-03,1049257.5100000002,1151993.6097983094
2021-07-04,1049257.5100000002,1151993.6097983094
2021-07-05,1049257.5100000002,1151993.6097983094
2021-07-06,1054811.4700000002,1159944.085735206
2021-07-07,1053797.7700000003,1158492.9774346005
2021-07-08,1048139.1100000002,1150521.200825401
2021-07-09,1049734.6300000004,1152733.80816082
2021-07-10,1049734.6300000004,1152733.80816082
2021-07-11,1049734.6300000004,1152733.80816082
2021-07-12,1058125.4800000002,1164190.907275511
2021-07-13,1059814.1800000002,1166496.705052253
2021-07-14,1059624.1000000003,1166241.0969846235
2021-07-15,1057395.0100000002,1163288.291286694
2021-07-16,1057080.1900000004,1162864.9404246823
2021-07-17,1057080.1900000004,1162864.9404246823
2021-07-18,1057080.1900000004,1162864.9404246823
2021-07-19,1043016.2500000002,1143952.6060041268
2021-07-20,1036820.8300000003,1135621.3805498236
2021-08-02,1065312.5800000003,1173363.5092857617
2021-08-03,1062474.4600000002,1169603.9406243758
2021-08-04,1067209.3000000003,1175783.7981761298
2021-08-05,1065741.6700000004,1173896.0260933235
2021-08-06,1069985.7700000003,1179277.1084337349
2021-08-07,1069985.7700000003,1179277.1084337349
2021-08-08,1069985.7700000003,1179277.1084337349
2021-08-09,1071838.8700000003,1181593.5565466287
2021-08-10,1071417.1300000004,1181066.3649071425
2021-08-11,1072797.3700000003,1182767.7561073021
2021-08-12,1073651.4700000002,1183806.1638820476
2021-08-13,1077759.9100000004,1188801.1715369767
2021-08-14,1077759.9100000004,1188801.1715369767
2021-08-15,1077759.9100000004,1188801.1715369767
2021-08-16,1077070.87,1187951.8072289156
